,0,1,2,3,4
113,빅터앤롤프 플라워밤 넥타린 오 드 퍼퓸 50ml,빅터앤롤프,"서양에서 정말 인기있는 플라워밤의 신작, 핑크 부케에 화사하게 드레싱된 꿀 향기","128,000원 5.2% 할인",4.7
114,나소마토 실버 머스크 엑스트레 퍼퓸 30ml,나소마토,"하얀 눈의 결정체가 손바닥 위에서 녹는 듯, 극도로 투명한 목화꽃의 깨끗함","245,500원 9.1% 할인",0.0
115,바스틸 플레르 룬 오 드 퍼퓸 50ml,바스틸,"달빛이 투영된 튜베로즈, 그 서정적이고 아린 보라빛 감성의 향기","165,500원 12.9% 할인",0.0
116,퍼퓸드말리 사파나드 75ml,퍼퓸 드 말리,석양의 차분함을 닮은 오렌지 블라썸에 차분하게 녹아드는 일랑일랑과 바닐라,"298,000원 18.4% 할인",0.0
117,프라고나르 로즈 드 메이 오 드 뚜왈렛 100/200ml,프라고나르,"매일 쓰는 장미수 토너처럼, 투명하게 젖어가는 로즈의 청초함","71,500원 10.6% 할인",4.6
118,프라고나르 꾀르 드 솔레이 오 드 퍼퓸 50/100ml,프라고나르,"햇빛에 반사된 블랙커런트가 사방으로 반짝이며, 프리지아와 연출하는 황홀함 그 자체","77,000원 11.5% 할인",4.8
119,프라고나르 벨 쉐리 30/50/60ml,프라고나르,듬뿍 담긴 따스한 사랑에 달궈진 스타후르츠의 달콤함,"88,000원 2.2% 할인",5.0
120,프라고나르 벨 드 그라스 오 드 뚜왈렛 100ml,프라고나르,"바이올렛,라일락의 보라빛 향연에서 헬리오트로프가 감싸안는 따스함","80,000원 11.1% 할인",4.4
121,프라고나르 일다무르 퍼퓸 30/60ml,프라고나르,"바다의 솔티함이 배인 화이트 플로럴의 청초함이, 거칠던 파도도 잠재우는 나긋한 향기","88,000원 12.0% 할인",0.0
122,프라고나르 디아망 30/50/60ml,프라고나르,"수수한 자스민과 관능의 바닐라 크림, 그 사이 간극을 채우는 달콤한 매력의 향기","88,000원 12.0% 할인",3.0
123,장 폴 고티에 클래식 오 드 뚜왈렛 30/50/100ml,장 폴 고티에,달콤하게 내쉬는 숨결마저 유혹적일 것 같은 오리엔털 계열의 관능적인 향수,"68,000원 20.0% 할인",4.5
124,장 폴 고티에 스캔들 오 드 퍼퓸 30/50/80ml,장 폴 고티에,파티 한가운데의 주인공 같은 달콤하고 센슈얼한 부드러움,"72,000원 20.0% 할인",4.7
125,쥬시꾸뛰르 위 오 드 퍼퓸 100ml,쥬시꾸뛰르,상큼달콤함 과즙과 끌로에의 모던함이 어우러진 쥬시꾸뛰르의 새로운 신상향수,"91,600원 26.1% 할인",4.5
126,크리드 플뢰르 드 가드니아 오 드 퍼퓸 75ml,크리드,가드니아와 라벤더가 잔뜩 핀 고동나무 아래에서 깊은 숨을 고르는 듯한 몽환적 향기,"363,000원 18.1% 할인",4.7
127,클린 클래식 웜코튼 오 드 퍼퓸 30/60ml,클린 리저브,전방 100m 밖까지 닿는 새하안 비누 향기에 마음까지 산뜻해지는 깨끗한 향기,"38,000원 30.9% 할인",4.8
128,트루사르디 - 르비드 밀라노 비아 델라 스피가 오 드 퍼퓸 100ml,트루사르디 르비드 밀라노,애플과 허니크림의 럭셔리하고 귀족적인 부드러움,"238,000원 15.0% 할인",5.0
129,트루사르디 - 르비드 밀라노 갤러리아 비토리오 에마누엘레 2세 오 드 퍼퓸 100ml,트루사르디 르비드 밀라노,자신감 넘치는 관능미의 바닐라 모카향기,"238,000원 15.0% 할인",5.0
130,트루사르디 - 르비드 밀라노 포르타 누오바 오 드 퍼퓸 100ml,트루사르디 르비드 밀라노,편안한 사랑을 하고싶은 아이보리 비누거품 향기,"238,000원 15.0% 할인",4.6
131,트루사르디 돈나 오 드 퍼퓸 30/50/100ml,트루사르디 르비드 밀라노,"오렌지 블라썸이 상큼하게 터지고 남은 자리, 여전히 느껴지는 그날의 아름다움","40,000원 41.2% 할인",5.0
132,트루사르디 페미닌 오 드 퍼퓸,트루사르디 르비드 밀라노,"연보라색 꽃들 사이 은연 중에 맡아지는 벨벳 질감의 스웨이드, 그 포근한 고급스러움","52,000원 27.8% 할인",0.0
133,퍼퓸 드 말리 델리나 75ml,퍼퓸 드 말리,엄친딸 포스 나는 예쁘고 달콤한 리치 바닐라와 피오니의 사기적인 향기,"310,000원 15.1% 할인",4.8
134,퍼퓸드말리 아탈리아 75ml,퍼퓸 드 말리,촉촉한 아이리스에 포근한 머스크의 귀족같은 차분함,"338,000원 13.3% 할인",5.0
135,퍼퓸드말리 달시 오 드 퍼퓸 75ml,퍼퓸 드 말리,"퍼퓸드말리 여성향수, 달시","310,000원 8.8% 할인",0.0
136,퍼퓸 드 말리 멜리오라 75ml,퍼퓸 드 말리,로제 와인을 부딪히는 순간 스파클링하게 떠오르는 연보라빛 은하수,"358,000원 10.9% 할인",5.0
137,아이젠버그 조즈 우먼 30/50/100ml,아이젠버그,"톰포드 블랙오키드의 여름 버전처럼, 자신만의 개성과 분위기가 뚜렷한 여자","65,200원 17.5% 할인",4.7
138,아이젠버그 디아볼리끄 우먼 30/50/100ml,아이젠버그,날카롭지만 깊고 스모키한 눈빛을 닮은 그을린 베티버와 샌달우드 향기,"65,200원 17.5% 할인",4.5
139,아이젠버그 르페쉬에 우먼 30/50/100ml,아이젠버그,"살짝 트인 스커트 사이로 드러난 살결처럼, 과하지 않게 부드러운 섹시함과 센슈얼의 중간","65,200원 17.5% 할인",4.4
140,아이젠버그 오프레쉬 우먼 30/50/100ml,아이젠버그,"라벤더의 선선함을 따라 이끌려간 곳, 아로마틱한 여운이 길게 남는 향기","65,200원 17.5% 할인",4.9
141,아이젠버그 아이엠 우먼 30/50/100ml,아이젠버그,"투명한 누드 립, 약간 벌어진 입술 사이가 만드는 뇌쇄적인 아름다움","65,200원 17.5% 할인",4.7
142,아틀리에 코롱 포멜로 파라디 30ml,아틀리에 코롱,생 자몽 하나를 그대로 갈아낸 듯한 싱싱함,"72,000원 30.1% 할인",4.7
143,아닉구딸 엉 마뗑 도하쥬 100ml,아닉구딸,비 맞은 가드니아가 잔뜩 피어있는 정원을 걷고 있는 은은한 향기,"124,000원 37.4% 할인",4.6
144,구딸파리 르 쉐브르페이유 오 드 뚜왈렛 100ml,아닉구딸,"크리넥스 티슈향으로 유명한, 들판의 수선화와 풀꽃들의 음율같은 청아하고 순수한 향기","145,000원 26.8% 할인",4.5
145,세르주루텐 다튜라느와 오 드 퍼퓸,세르주루텐,"깊은 상처까지 감싸 안아줄 것 같은, 헬리오트로프와 튜베로즈의 안락한 편안함","174,500원 14.9% 할인",5.0
146,세르주루텐 플뢰르 도랑제 오 드 퍼퓸,세르주루텐,무르익은 튜베로즈 꽃망울이 터지며 달콤한 허니 디저트 위로 사뿐히 내려앉는 섬세함,"174,500원 14.9% 할인",5.0
147,분더샵 인피니트 썬 오 드 퍼퓸 50ml,분더샵,"태양을 보며 활짝 피는 은방울꽃에, 미처 털어내지 못한 흙 한 줌이 어울린 향기","103,500원 25.0% 할인",5.0
148,발렌시아가 플로라 보타니카 오 드 퍼퓸 30/50/100ml,발렌시아가,서늘함을 품고 나타난 로즈와 카네이션의 시크한 여성스러움,"78,000원 56.7% 할인",4.8
149,빅토리아 시크릿 저스트 어 키스 오 드 퍼퓸 50ml,빅토리아시크릿,"볼 위 가벼운 입맞춤을 부를 정도로, 피오니와 과일을 아낌없이 부어 완성한 사랑스러움","75,000원 21.1% 할인",0.0
150,빅터앤롤프 플라워밤 오 드 퍼퓸 30/50/100ml,빅터앤롤프,롤케익 처럼 부드럽고 달콤한 블랙베리의 발랄한 섹시미,"71,300원 16.1% 할인",4.8
151,빅터앤롤프 플라워밤 듀 오 드 퍼퓸 30/50/100ml,빅터앤롤프,"티 안나게 예쁘다, 분위기 자체 끝판왕을 만들어버리는 청초함","71,300원 16.1% 할인",5.0
152,빅터앤롤프 봉봉 오 드 퍼퓸 30/50/90ml,빅터앤롤프,"오늘따라 더 사랑스럽네, 망고와 재스민 아이스크림의 달콤한 조화","71,300원 16.1% 할인",5.0
153,불리 오 트리쁠 알 카시르 75ml,불리 1803,"살짝 힘을 뺀 바닐라와 고소한 샌달우드, 느슨한 듯 여유로운 우디 내음","170,000원 17.1% 할인",0.0
154,르라보 로즈 31 오 드 퍼퓸 50/100ml,르라보,마른 장미잎과 오우드가 어우러진 중성적인 향수,"210,000원 17.0% 할인",4.9
155,롤리타렘피카 우먼 오 드 퍼퓸,롤리타렘피카,10년동안 스테디셀러를 지킨 포근하고 여성스러운 미모사 - 아몬드 향기,"45,000원 36.6% 할인",4.6
156,롤리타 렘피카 몽 오 드 퍼퓸 50ml,롤리타렘피카,파우더리함은 낮추고 베리의 싱그러움을 살린 - 롤리타렘피카의 데일리룩,"57,000원 41.2% 할인",4.7
157,로이비 베르가못 앤 화이트로즈 오 드 퍼퓸 50ml,로이비,"쁘띠쉐리를 차분하게 닮은, 아삭한 배와 로즈가 얽혀 연출하는 차분한 조화","98,100원 10.0% 할인",4.0
158,로이비 로터스 앤 인센스 오 드 퍼퓸 50ml,로이비,"로이비의 중성 향수 베스트셀러, 푸르스름한 안개비를 들이마신 연꽃의 향기","98,100원 10.0% 할인",5.0
159,로이비 만다린 앤 샌달우드 오 드 퍼퓸 50ml,로이비,"마음 한 켠에 쌓아둔 유년시절, 그 시기를 닮은 민트 잎의 옅은 풀물과 자몽의 쌉싸름함","98,100원 10.0% 할인",5.0
160,로이비 피오니 앤 화이트 머스크 오 드 퍼퓸 50ml,로이비,"로이비의 여성 향수 베스트셀러, 몽글한 구름을 닮은 피오니의 하얀 설레임을 담은 향기","98,100원 10.0% 할인",5.0
161,로이비 휘그 앤 시더우드 오 드 퍼퓸 50ml,로이비,"진중한 숲의 향기를 머금은 무화과, 그 하얀 달콤함이 경쾌하게 피어나는 포레스트","98,100원 10.0% 할인",4.7
162,로이비 샤프론 앤 오렌지 블로썸 오 드 퍼퓸 50ml,로이비,"버건디빛 샤프란과 오렌지 블로썸이 써내려가는 가을무드, 달콤하게 무르익은 오리엔탈 플로럴","98,100원 10.0% 할인",5.0
163,로에베 아우라 핑크 매그놀리아 오 드 퍼퓸 50ml,로에베,"연분홍빛 목련 꽃봉오리가 바람에 한 점씩 떨어질 때 차분히 내려앉는, 살가운 시트러스-머스키","90,000원 35.3% 할인",0.0
164,랄프로렌 폴로 우먼 오 드 퍼퓸 30/50/100ml,랄프로렌,"이제는 성숙해진 나이, 굳이 애쓰지 않아도 모두가 알아보는 아름다움","68,000원 15.0% 할인",5.0
165,프라다 캔디 오 드 퍼퓸 30/50/80ml,프라다,"센슈얼하게 퍼지는 달콤함의 끝판왕, 클래식한 여성스러움","94,000원 9.6% 할인",4.8
166,프라다 라팜므 오 드 퍼퓸 35/50/100ml,프라다,"출퇴근용으로 좋은, 아이보리 비누 향기가 연출하는 폭닥한 섹시함","94,000원 9.6% 할인",4.8
167,프라다 캔디 슈가팝 오 드 퍼퓸 30/50/80ml,프라다,"레몬케이크를 한 입, 두 입 가볍게 떠먹는 것처럼 부드러운 상큼함","92,000원 9.8% 할인",4.9
168,돌체앤가바나 돌체 샤인 30/50/75ml,돌체앤가바나,말린 건망고에 연유를 살짝 뭍혀 재스민꽃과 먹는 것 같은 따뜻한 달콤함,"62,800원 22.5% 할인",4.3
169,프라다 레스 인퓨전 디 플로럴 디 오렌지 100ml,프라다,아늑한 햇살 사이 따뜻함을 더해가는 오렌지와 부케 향기,"184,000원 9.8% 할인",5.0
170,돌체앤가바나 돌체 피오니 30/50/75ml,돌체앤가바나,포도맛 밀크쉐이크를 들고서 신나게 뛰어다니는 대학생 새내기같은 상큼달콤함,"58,800원 27.4% 할인",4.3
171,프라다 캔디 글로스 오 드 뚜왈렛 30/50/80ml,프라다,"아삭거리는 달콤한 체리, 청포도가 프라다의 여성미를 입었을 때","87,500원 9.8% 할인",5.0
172,데렉 램 10 크로스비 러브디럭스 오 드 퍼퓸 50/100ml,데렉 램 10 크로스비,비가 그친 뒤 잔뜩 날이 서 있는 정원에서 가장 사랑스럽게 핀 꽃의 담백함,"75,000원 9.6% 할인",5.0
173,데렉 램 10 크로스비 사일런트 스트리트 오 드 퍼퓸 10/50/100ml,데렉 램 10 크로스비,더운여름날 흰색시스루 티셔츠와 청바지를 가볍게 입은 듯한 파우더한 향기,"33,300원 10.0% 할인",4.8
174,프라다 캔디 키스 오 드 퍼퓸 50/80ml,프라다,"나도 모르는 새 은근히 젖어, 내 마음을 차지한 바닐라의 달콤함","123,000원 10.2% 할인",4.8
175,누NOU 벨벳 블라썸 오 드 퍼퓸 50ml,누NOU,"스모키한 벨벳 질감의 따스한 클로브 향기, 중성적인 데일리 캐주얼","42,000원 16.0% 할인",0.0
176,누NOU 플로럴 미스트 오 드 퍼퓸 50ml,누NOU,"프리지아, 만다린, 로즈가 이슬 안개처럼 공중으로 흩어지는 경쾌한 향기","42,000원 16.0% 할인",0.0
177,누NOU 프리지아 오 드 퍼퓸 50ml,누NOU,신선하게 간 갈바넘과 쨍한 프리지아가 하루종일 곁에 감도는 뽀송함,"42,000원 16.0% 할인",0.0
178,누NOU 로즈 파출리 오 드 퍼퓸 50ml,누NOU,로즈와 파출리의 스파클링한 사랑스러움이 한 장면으로 추억되는 향기,"42,000원 16.0% 할인",4.0
179,누NOU 투베로즈 오 드 퍼퓸 50ml,누NOU,투베로즈의 하얀 곡선처럼 등의 여린 살결이 유영하듯 흐르는 아름다움,"42,000원 16.0% 할인",0.0
180,프로소디 런던 로즈 론듀 오 드 퍼퓸 50ml,프로소디 런던,버건디 로즈 그리고 블랙커런트와 제라늄의 쌉싸름한 달콤함을 씹어낸 신선한 아성,"134,000원 15.2% 할인",5.0
181,프로소디 런던 히아신스 존퀼 오 드 퍼퓸 50ml,프로소디 런던,"햇살이 비추는 자리, 하얀 치마 폭에 담은 히아신스가 따뜻하게 물드는 여운의 향기","134,000원 15.2% 할인",0.0
182,나르시소 로드리게즈 루즈 오 드 뚜왈렛 50ml,나르시소 로드리게즈,"18년 하반기신상, 체리의 달콤함과 로즈가 어울린 캐쥬얼 섹시","88,300원 15.9% 할인",5.0
183,프로소디 런던 트레비 로즈 오 드 코롱 30ml,프로소디 런던,라즈베리 과즙을 먹고 자라나 더욱 붉어진 장미가 연출하는 고혹스러운 향기,"70,500원 15.1% 할인",5.0
184,나르시소 로드리게즈 푸드레 오 드 퍼퓸 30/50/90ml,나르시소 로드리게즈,"부드러운 달콤함으로 샤워한 듯, 뽀송한 비누","51,500원 39.4% 할인",5.0
185,프로소디 런던 페이퍼 플라워 팬 오 드 코롱 30ml,프로소디 런던,"프로소디의 베스트셀러, 프리지아 꽃 한 송이가 주는 잔잔한 싱그러움","70,500원 15.1% 할인",5.0
186,나르시소 로드리게즈 포허 오 드 퍼퓸 30/50/100ml,나르시소 로드리게즈,실크처럼 부드럽고 섬세한 머스키한 로즈의 고급스러운 향기,"51,500원 40.1% 할인",4.9
187,프로소디 런던 베리 블릿츠 오 드 코롱 30ml,프로소디 런던,"갓 딴 베리와 오렌지 마멀레이드, 모두를 식탁으로 불러모으는 신선한 상큼함","70,500원 15.1% 할인",5.0
188,프로소디 런던 무아레 미모사 오 드 코롱 30ml,프로소디 런던,"연둣빛 달콤함이 미모사에 닿아, 자연에서 느낄 수 있는 가장 편안한 상큼함을 피워내는 향기","70,500원 15.1% 할인",4.8
189,끌로에 러브스토리 오 드 퍼퓸 75ml,끌로에,"웹드라마의 대학 캠퍼스 한 장면처럼 상큼한 장미, 배 향기","115,000원 23.3% 할인",4.9
190,끌로에 노마드 오 드 퍼퓸,끌로에,"플럼과 자스민의 톡쏘는 상큼함을 감싸안는 차분한 시프레, 기존 끌로에와는 사뭇 다른 시크함","113,000원 24.7% 할인",4.7
191,불리 오 트리플 다마스크 로즈 75ml,불리 1803,"장미 본연의 분위기, 온전한 아름다움으로 모두를 납득시키는 유려함","170,000원 17.1% 할인",4.9
192,SWG컬렉션 로제가즘 50ml,SWG Collection,"에펠탑이 보이는 마르스 광장, 바람을 타고 날아오는 장미와 라즈베리의 낭만","88,200원 10.0% 할인",0.0
193,SWG컬렉션 베티버느와 50ml,SWG Collection,"뉴욕 센트럴의 자유와 방황을 닮은 페퍼와 토바코, 미니멀과 모던 사이를 아우르는 세련된 중성미","88,200원 10.0% 할인",0.0
194,메종 프란시스 커정 아쿠아 유니버셜 오 드 뚜왈렛 70ml,메종프란시스 커정,어디서 상큼한 향기난다! 할 정도로 청아하고 날카로운 공용 향수,"220,000원 26.8% 할인",4.8
195,메종 프란시스 커정 아쿠아 셀레스티아 오 드 뚜왈렛 70ml,메종프란시스 커정,"빙하얼음을 분쇄한 듯, 청량함을 담아 지적이고 깨끗한 향기","224,000원 25.5% 할인",4.7
196,메종 프란시스 커정 아쿠아 비떼 오 드 뚜왈렛 70ml,메종프란시스 커정,"과이악 우드의 잎사귀가 가을 낙엽으로 레몬색을 띄는 계절, 만다린 조각이 스파클링하게 통카빈을 두드리는 시간","224,000원 25.5% 할인",5.0
197,메모 그라나다 오 드 퍼퓸 75ml,메모,자욱이 내려 앉는 달빛을 머금은 자스민 근처로 살며시 피어가는 바닐라의 부드러운 달콤함,"263,000원 24.9% 할인",0.0
198,딥디크 도손 오 드 뚜왈렛,딥티크,단아하고 귀족적인 느낌의 달콤한 우유같은 튜베로즈향기,"128,000원 10.5% 할인",4.8
199,스테파니 브루진 파리몽타뉴 오 드 퍼퓸 100ml,스테파니 브루진,"입가에 고인 보랏빛 와인이, 지그시 감겨진 눈꺼풀이 따라올 수 없게 만드는 독보적인 분위기","225,000원 10.0% 할인",5.0
200,스테파니 브루진 캐시미어 오 드 퍼퓸 100ml,스테파니 브루진,"화양연화 속 낡은 다락방, 우디 머스크의 붉은 톤이 따스하게 머무는 자리의 향기","225,000원 10.0% 할인",0.0
201,스테파니 브루진 델리스 오 드 퍼퓸 100ml,스테파니 브루진,"파리의 돌담길, 시나몬과 바닐라빈의 따스함이 천천히 자리를 데우는 향기","225,000원 10.0% 할인",0.0
202,겔랑 라쁘띠 로브 느와르 레제르 오 드 퍼퓸 50ml,겔랑,블랙체리의 세련됨이 가미된 2018년 신작 플랭커,"68,000원 38.2% 할인",0.0
203,조말론 로즈 앤 매그놀리아 코롱 50ml,조말론,"파리의 센 강에서 마주한 장미와 파츌리, 우디 톤의 장미만이 낼 수 있는 깊고 짙은 분위기","120,000원 20.0% 할인",5.0
204,구딸파리 쁘띠쉐리 오 드 퍼퓸 50/100ml,아닉구딸,"아닉구딸 베스트셀러, 쁘띠쉐리 기프트 세트","115,000원 40.4% 할인",4.7
205,아쿠아 디 파르마 매그놀리아 노빌레 오 드 퍼퓸,아쿠아 디 파르마,순수한 상큼함과 여리여리한 관능미가 얽힌 이중적 매력의 매그놀리아 향기,"127,000원 38.0% 할인",4.7
206,조말론 넥타린 블로썸 앤 허니 코롱,조말론,복숭아와 자몽을 크게 잘라 잎사귀와 함께 삼키는 듯한 달콤함,"87,800원 17.9% 할인",4.6
207,딥디크 도손 오 드 퍼퓸 75ml,딥티크,"쌉싸름한 깨끗함에 바닐라를 섞은, 아이보리색 튜베로즈 향기","196,500원 16.4% 할인",4.8
208,바이레도 블랑쉬 오 드 퍼퓸 50/100ml,바이레도,"바이레도 대표작, 기분까지 상큼해지는 산뜻한 비누","205,000원 14.6% 할인",4.8
209,산타마리아노벨라 로사 가데니아 오 드 코롱 50ml,산타마리아노벨라,"연하고 여린 장미, 그 위로 투명하도록 지나가는 머스크가 완성하는 맑고 깨끗한 향기","102,000원 25.5% 할인",4.9
210,산타마리아 노벨라 아쿠아 디 콜로니아 로사 오 드 코롱 100ml,산타마리아노벨라,"가지런한 눈꽃 위로 똑 부러지듯 아름다운 선율의 다마스커스 로즈, 차분한 고급스러움","152,000원 15.6% 할인",5.0
211,아닉구딸 로즈폼퐁 오 드 뚜왈렛,아닉구딸,검정색 단발의 탕웨이가 생각나는 고급미 넘치는 담백한 장미향기,"102,000원 35.4% 할인",4.7
212,메종마르지엘라 레이지선데이 모닝 100ml,메종 마르지엘라,"편안한 침대에 누웠을 때, 이불 속으로 온 몸이 녹아들듯 느껴지는 편안함","145,000원 17.1% 할인",4.8
213,딥디크 오르페옹 오 드 퍼퓸 75ml,딥티크,"빳빳한 와이셔츠 위로 알싸한 주니퍼베리 안개가 스민, 시크한 긴장감의 런더리 향수","225,000원 8.2% 할인",4.9
214,딥디크 올렌느 오 드 뚜왈렛 50ml,딥티크,부드럽고 우아하게 퍼지는 세심하고 감각적인 아카시아 꽃 향기,"135,000원 5.6% 할인",4.5
215,딥디크 제라늄 오도라타 오 드 뚜왈렛 100ml,딥티크,"촉촉히 젖은 토지에서 올라오는 흙내음 사이, 초원의 그늘진 풀 속을 헤집고 피어난 제라늄 향기","175,000원 12.1% 할인",5.0
216,디올 쟈도르 오 드 퍼퓸,디올,"한없이 부드럽고, 고급스럽게 관능적인 디올의 대표 여자향수","99,000원 9.2% 할인",4.8
217,빅토리아 시크릿 밤쉘 오 드 퍼퓸 50ml,빅토리아시크릿,해외 빅시매장에서 판매량 1등을 다투는 여자향수,"75,000원 21.1% 할인",4.5
218,스테파니 브루진 큐피동 오 드 퍼퓸 100ml,스테파니 브루진,블랙커런트 이슬이 흩어지며 장미에 젖어드는 투명한 아름다움,"225,000원 10.0% 할인",4.9
219,킬리안 우먼 인 골드 오 드 퍼퓸,킬리안,"화려한 장신구에도 묻히지 않는 달콤한 플로럴과 투명하게 빛나는 바닐라, 그 매혹의 향기","340,000원 20.6% 할인",0.0
220,메모 랄리벨라 오 드 퍼퓸 75ml,메모,따스한 바람을 타고 와 끝을 스치는 바닐라 향기 속 부드럽게 스며있는 코코넛의 달콤함,"263,000원 24.9% 할인",5.0
221,크리드 러브 인 화이트 30/75ml,크리드,"바람에 흩날린 웨딩드레스 끝자락같은, 촉촉한 화이트 수선화 향기","210,000원 19.2% 할인",5.0
222,에르메스 트윌리 데르메스 오 드 퍼퓸 50ml,에르메스,풍부하고 달콤한 생강과 튜베로즈가 우디하게 연출되는 글래머스한 향기,"113,000원 22.6% 할인",4.9
