field1,field2,field3,field4,_GC_TYPE,_X,_Y
막걸리,배상면주가 느린마을 막걸리,서울특별시 서초구 강남대로 27길 7-9 우곡빌딩 6층,서울특별시서초구강남대로27길7-9우곡빌딩6층,정,127.0379603457985,37.47894451433103
막걸리,복순도가,울산광역시 울주군 상북면 향산동길 50,울산광역시울주군상북면향산동길50,정,129.09653895912368,35.58592440260496
과실주,금이산농원 복숭아 와인,세종특별자치시 전의면 가느실길 127,세종특별자치시전의면가느실길127,정,127.18926312381217,36.64050802934879
과실주,산내들 소백산 스위트 와인,경상북도 영주시 단산면 좌석리 277-1,경상북도영주시단산면좌석리277-1,정,128.57603807720758,36.991598199371325
과실주,덕유양조 산머루주,전라북도 무주군 안성면 장무로 1375-7,전라북도무주군안성면장무로1375-7,정,127.63055440114155,35.814874593586694
막걸리,죽향도가,전라남도 담양군 담양읍 삼다리 78,전라남도담양군담양읍삼다리78,정,126.96354205053284,35.32070793076177
청주,오메기 맑은술,제주특별자치도 제주시 애월읍 애원로 283,제주특별자치도제주시애월읍애원로283,정,126.33736551607751,33.44448280679714
과실주,배상면주가 빙탄복,서울특별시 서초구 강남대로 27길 7-9 우곡빌딩 6층,서울특별시서초구강남대로27길7-9우곡빌딩6층,정,127.0379603457985,37.47894451433103
과실주,컨츄리 와인 영동포도 와인,충청북도 영동군 영동읍 조현길 30,충청북도영동군영동읍조현길30,정,127.83292661696976,36.17779197532869
청주,고헌정 동학 1957 특선 13도,충청북도 충주시 산척면 샛강영길 39,충청북도충주시산척면샛강영길39,정,127.9665289626257,37.10167864724174
청주,우포의아침,경남 창녕군 대지면 대지농공단지길 40,경상남도창녕군대지면대지농공단지길40,정,128.4604181196828,35.53798908698597
증류주,도원결의,경북 영덕군 강구면 소월1길 16-10,경상북도영덕군강구면소월1길16-10,정,129.37450549659002,36.37934819388766
청주,양촌양조 무농약 우렁이쌀,충청남도 논산시 양촌면 매죽헌로 1665번길 14-7,충청남도논산시양촌면매죽헌로1665번길14-7,정,127.2343269499451,36.138066640982366
청주,감홍로,경기도 파주시 파주읍 윗가마울길 149,경기도파주시파주읍윗가마울길149,정,126.83355349668848,37.81600981979804
증류주,서울의밤,서울시 은평구 증산로7길 28-13,서울특별시은평구증산로7길28-13,정,126.90703300129007,37.58552679394746
증류주,박재서명인 안동소주,경북 안동시 풍산읍 산업단지6길 6,경상북도안동시풍산읍산업단지6길6,정,128.54094190803835,36.604000613023125
증류주,도원결의,경북 영덕군 강구면 소월1길 16-10,경상북도영덕군강구면소월1길16-10,정,129.37450549659002,36.37934819388766
탁주,술샘 이화주,경기도 용인시 처인구 양지면 죽양대로 2298-1,경기도용인시처인구양지면죽양대로2298-1,정,127.29861795910936,37.233507477704734
청주,금설,경기도 파주시 파주읍 윗가마울길 149,경기도파주시파주읍윗가마울길149,정,126.83355349668848,37.81600981979804
증류주,서울의밤 명랑스컬,서울시 은평구 증산로7길 28-13,서울특별시은평구증산로7길28-13,정,126.90703300129007,37.58552679394746
증류주,안동소주 일품,경상북도 안동시 풍산읍 ㈜ 안동소주일품,경상북도안동시풍산읍㈜안동소주일품,대,128.54551888251672,36.59909579430724
증류주,바다한잔 동해소주,강원 속초시 이목로 104-49,강원속초시이목로104-49,정,128.55289967111815,38.20308426306275
증류주,박재서명인 안동소주,경북 안동시 풍산읍 산업단지6길 6,경상북도안동시풍산읍산업단지6길6,정,128.54094190803835,36.604000613023125
증류주,도원결의,경북 영덕군 강구면 소월1길 16-10,경상북도영덕군강구면소월1길16-10,정,129.37450549659002,36.37934819388766
증류주,안동소주 일품,경상북도 안동시 풍산읍 ㈜ 안동소주일품,경상북도안동시풍산읍㈜안동소주일품,대,128.54551888251672,36.59909579430724
증류주,박재서명인 안동소주,경북 안동시 풍산읍 산업단지6길 6,경상북도안동시풍산읍산업단지6길6,정,128.54094190803835,36.604000613023125
탁주,모주,전북 남원시 주천면 장백산로 130,전라북도남원시주천면장백산로130,정,127.45139971761422,35.40195597896491