,,,,,,,,,,,
술 종류,술 이름,도수,용량(ml),"가격 - 공식홈페이지 가격(1병 기준), 없으면 네이버 스토어 최저가",별점 - 점수별 개수 평균(점수*개수/전체개수),탄산,맛,향,"리뷰 빈도수 : 리뷰개수 가장 적은걸로 개수 통일화 후 랜덤으로 뽑기 
개수 : 600개
(언급량, 인지도, 리뷰수)","선물용
(디자인, 병모양, 이쁨, 패키지, 설날, 크리스마스 등)",기타 태그
막걸리 ,배상면주가 느린마을 막걸리,6,1000,10000,4.8,O,"고소하다
뽀얗다
담백하다
크림,우유(부드럽다)
달맛(달다,달짝지근하다,달달하다)
고급스럽다
깔끔하다
걸쭉하다
쌀맛
텁텁하다(반반)
청량하다(반반)","사과
요구르트
곡물
과일",18923,"선물','추석','설날','크리스마스','집들이','기념','대접'",
막걸리 ,복순도가,6.5,935,12000,4.8,O,"산뜻하다
스파클링(탄산)
꿀떡꿀떡
순하다
달짝지근하다(달달)
부드럽다
고소하다
청량하다
담백하다
연하다
단맛
신맛
깔끔하다
시큼하다
와인, 샴페인","청포도
누룩
포도
복숭아
향기",27821,"부모님','가족','지인','친구','명절','추석'","와인같은 맛
고퀄리티 코리안 와인(한국식 와인)
스파클링 와인 : 리뷰 많음
달달한 와인
화이트 와인
고급스러운
-> 와인을 좋아하는 사람들이 찾는 막걸리

와인잔에 따라 먹으면 분위기 있다. 분위기 내기 좋다 -> 고급스럽다
잔에 따른 분위기를 즐기는 것도 좋아한다

요거트맛 샴페인
탄산
-> 탄산음료를 좋아하지만 술을 못하는 사람들에게 추천

발효주기에 따라 맛이 달라진다
숙성해서 먹는게 더 부드러운 맛이 난다"
,곰표,6,500,4500,4.8,△(시간이 지나면서 탄산 쎄짐),,,13024,,"표문 : 곰표 거꾸로
양 작아서 혼술하기 좋음
가성비는 별루다"
막걸리,죽향도가,6,600,3800,4.8,X,"부드럽다
순하다
굉장하다
깔끔하다
달콤하다
달달
중독
청량하다
텁텁(긍정)
라이트
맑다
신맛
담백하다
감칠맛
묵직하다(묵직하지 않아서 좋다)
산미
가볍다
고급스럽다",꿀향,5916,"생일
부모님
가족
친구
명절
추석",
과실주,배상면주가 빙탄복,7,370,4000,4.8,o ,"탄산음료같다
도수가높지않다
뒷맛이 깔끔",복분자,7754,혼술,
과실주,산내들 소백산 스위트 와인,12,750,15500,4.76,x,"부드러움
목넘김
",향긋하다,3541,"초보자용, 가격대비, 고급스러움(맛, 포장)",
과실주,금이산농원 복숭아 와인,12,500,20000,4..82,x,"달달하다
신맛
깔끔하다
자연스러움","복숭아향 약함
은은하게 퍼짐",3794,홈파티용,
과실주,덕유양조 산머루주,16,350,5700,4.79,o (아주 약간),"단맛(달달하다, 달다)",머루향 진함,1053,,
과실주,컨츄리 와인 영동포도 와인,12,750,23050,4.87,x,"떫은 맛
부드러운 목넘김
달달",,758,"선물용, 디저트, 분위기 내기",
청주,고메기 맑은술,16,500,30000,4.83,X,"깔끔하다
달콤하다
은은하다
부드럽다
달달
산미
맑다
상큼
","과일
화이트 와인
과실
",1468,"스타일
고급스럽다
꼼꼼하다
추석
패키지
이쁘다 
예쁘다
지인
",
청주,고헌정 동학 1957 특선 13도,13,375,3500,4.84,X,"단맛
가볍다
은은하다
부드럽다
달달
사케
드라이",누룩향,1349,"고급스럽다
디자인
예쁘다
",
청주,양촌양조 무농약 우렁이쌀,14,500,16000,4.86,X,"가볍다
반주
달달
단맛
부드럽다
순하다
","약초향
고구마향
약재",805,"선물
박스
술잔
사은",
청주,우포의아침,14,700,4500,4.7,X,"부드러움
청주
드라이
달달
도수
",누룩향 미미,482,"선물
요리
친구",
청주,감홍로,40,400,45000,4.8,X,"깔끔
은은
위스키
부드러움
호불호
","계피
한약재",951,"도자기
고급스러움
이쁨",
청주,금설,35,375,35000,4.9,X,"부드러움
진함
강함
구수함
깔끔함",인삼,1877,"화려함
아름다움
반짝반짝
이쁨",
증류주,도원결의,15,360,5500,4.8,X,"상큼
은은
단맛",복숭아,2452,"도자기
이쁨",
증류주,도원결의,25,360,6310,4.8,X,"상큼
은은
단맛",복숭아,549,"도자기
이쁨",
증류주,도원결의,40,360,10930,4.8,X,"상큼
은은
단맛",복숭아,199,"도자기
이쁨",
증류주,박재서명인 안동소주,22,360,5000,4.85,X,"깔끔
깨끗
부드러움
",누룩,5212,이쁨,"가성비
청주
위스키
사케"
증류주,박재서명인 안동소주,35,360,7500,4.85,X,"세다
깔끔
깨끗
부드러움",누룩,4063,이쁨,"가성비
청주
위스키
사케"
증류주,박재서명인 안동소주,45,800,38000,4.83,X,"세다
깔끔
깨끗
부드러움",누룩,14298,"호리병
이쁨","가성비
청주
위스키
사케"
증류주,서울의밤 명랑스컬,17,375,5580,4.83,X,"부드러움
은은함
깔끔
강함",매실,774,이쁨,가성비
증류주,서울의밤,25,375,7110,4.84,X,"부드러움
깔끔
단맛
강함","매실
자두
",7496,이쁨,"가성비
고량주
사케"
증류주,안동소주 일품,21,350,5280,4.84,X,"부드러움
깔끔함
은은함
순함",곡물향,1880,이쁨,청주
증류주,안동소주 일품,40,350,8590,4.86,X,"깔끔함
단맛
은은함
순함",곡물향,3708,이쁨,청주
증류주,바다한잔 동해소주,17.5,360,2510,4.87,X,,,3033,,
탁주,술샘 이화주,8도,100,7500,4.56,약간,"부드러움
쌀맛
단맛
신맛",,1616,귀엽다,"요구르트
막걸리
꾸덕꾸덕
이색
호불호
철인왕후
한식대첩"
탁주,모주,1도,500,3000,4.69, X,"단맛
순함",계피,352,패트병,"데워먹음
불면증
낮술
음료수"