,이름,해시태그,종류,양조장 위치,도수,용량,가격,평점,맛,향,리뷰 수,비고
0,감홍로,#계피 #고급스럽다 #명주,청주,경기도 파주시 파주읍 윗가마울길 149,40,400.0,45000.0,4.8,깔끔 은은 위스키 부드러움 호불호 ,계피 한약재,951.0,도자기 고급스러움 이쁨
1,금설,#금가루 #젤리 #금,청주,경기도 파주시 파주읍 윗가마울길 149,35,375.0,35000.0,4.9,부드러움 진함 강함 구수함 깔끔함,인삼,1877.0,화려함 아름다움 반짝반짝 이쁨
2,증류주_더한매실원주_13도,#매실주 #매실 #매화수,증류주,전라남도 광양시 다압면 섬진강매화로 1683,,,,,,,,
3,도원결의 15도,#복숭아 #은은하다 #프로,증류주,경북 영덕군 강구면 소월1길 16-10,15,360.0,5500.0,4.8,상큼 은은 단맛,복숭아,2452.0,도자기 이쁨
4,도원결의 25도,#복숭아 #은은하다 #시럽,증류주,경북 영덕군 강구면 소월1길 16-10,25,360.0,6310.0,4.8,상큼 은은 단맛,복숭아,549.0,도자기 이쁨
5,도원결의 40도,#복숭아 #은은하다 #칵테일,증류주,경북 영덕군 강구면 소월1길 16-10,40,360.0,10930.0,4.8,상큼 은은 단맛,복숭아,199.0,도자기 이쁨
6,박재서명인 안동소주 22도,#희다 #석식 #특유,증류주,경북 안동시 풍산읍 산업단지6길 6,22,360.0,5000.0,4.85,깔끔 깨끗 부드러움 ,누룩,5212.0,이쁨
7,박재서명인 안동소주 35도,#누룩 #희다 #깨다,증류주,경북 안동시 풍산읍 산업단지6길 6,35,360.0,7500.0,4.85,세다 깔끔 깨끗 부드러움,누룩,4063.0,이쁨
8,박재서명인 안동소주 45도,#고급스럽다 #듭니 #상자,증류주,경북 안동시 풍산읍 산업단지6길 6,45,800.0,38000.0,4.83,세다 깔끔 깨끗 부드러움,누룩,14298.0,호리병 이쁨
9,서울의밤 17도,#은은하다 #매실 #레몬,증류주,서울시 은평구 증산로7길 28-13,,,,,,,,
10,서울의밤 25도,#매실 #은은하다 #레몬,증류주,서울시 은평구 증산로7길 28-13,25,375.0,7110.0,4.84,부드러움 깔끔 단맛 강함,매실 자두 ,7496.0,이쁨
11,안동소주 일품 21도,#은은하다 #담 #온라인,증류주,경상북도 안동시 풍산읍 ㈜ 안동소주일품,21,350.0,5280.0,4.84,부드러움 깔끔함 은은함 순함,곡물향,1880.0,이쁨
12,안동소주 일품 40도,#더락 #위스키 #온라인,증류주,경상북도 안동시 풍산읍 ㈜ 안동소주일품,40,350.0,8590.0,4.86,깔끔함 단맛 은은함 순함,곡물향,3708.0,이쁨
13,고헌정 동학 1957 특선 13도,#사케 #단맛 #약주,증류주,충청북도 충주시 산척면 샛강영길 39,13,375.0,3500.0,4.84,단맛 가볍다 은은하다 부드럽다 달달 사케 드라이 ,누룩향,1349.0,고급스럽다 디자인 예쁘다 
14,양촌양조 무농약 우렁이쌀,#약주 #백세주 #완벽하다,청주,충청남도 논산시 양촌면 매죽헌로 1665번길 14-7,14,500.0,16000.0,4.86,가볍다 반주 달달 단맛 부드럽다 순하다 ,약초향 고구마향 약재 ,805.0,선물 박스 술잔 사은 
15,오메기 맑은술,#제주도 #와인 #화이트와인,청주,제주특별자치도 제주시 애월읍 애원로 283,16,500.0,30000.0,4.83,깔끔하다 달콤하다 은은하다 부드럽다 달달 산미 맑다 상큼 ,과일 화이트 와인 과실 ,1468.0,스타일 고급스럽다 꼼꼼하다 추석 패키지 이쁘다 예쁘다 지인 
16,우포의아침,#사케 #드라이 #단맛,청주,경남 창녕군 대지면 대지농공단지길 40,14,700.0,4500.0,4.7,부드러움 청주 드라이 달달 도수 ,누룩향 미미,482.0,선물 요리 친구 
17,복순도가,#샴페인 #스파클링 #와인,막걸리,울산광역시 울주군 상북면 향산동길 50,6.5,935.0,12000.0,4.8,산뜻하다 스파클링 탄산 꿀떡꿀떡 순하다 달짝지근하다 달달 부드럽다 고소하다 청량하다 담백하다 연하다 단맛 신맛 깔끔하다 시큼하다 와인 샴페인,청포도 누룩 포도 복숭아 향기,27821.0,부모님 가족 지인 친구 명절 추석 
18,배상면주가 느린마을 막걸리,#우유 #단맛 #순하다,막걸리,서울특별시 서초구 강남대로 27길 7-9 우곡빌딩 6층,6,1000.0,10000.0,4.8,고소하다 뽀얗다 담백하다 크림 우유 부드럽다 달맛 달다 달짝지근하다 달달하다 고급스럽다 깔끔하다 걸쭉하다 쌀맛 텁텁하다 반반 청량하다 반반 ,사과 요구르트 곡물 과일,18923.0,선물 추석 설날 크리스마스 집들이 기념 대접 
19,죽향도가,#꿀 #단맛 #꿀맛,막걸리,전라남도 담양군 담양읍 삼다리 78,6,600.0,3800.0,4.8,부드럽다 순하다 굉장하다 깔끔하다 달콤하다 달달 중독 청량하다 텁텁 긍정 라이트 맑다 신맛 담백하다 감칠맛 묵직하다 묵직하지 않아서 좋다 산미 가볍다 고급스럽다,꿀향,5916.0,생일 부모님 가족 친구 명절 추석
20,모주,#음료 #음료수 #진하다,탁주,전북 남원시 주천면 장백산로 130,1도,500.0,3000.0,4.69,단맛 순함,계피,352.0,패트병
21,술샘 이화주,#요거트 #특이하다 #과일,탁주,경기도 용인시 처인구 양지면 죽양대로 2298-1,8도,100.0,7500.0,4.56,부드러움 쌀맛 단맛 신맛,,1616.0,귀엽다
22,금이산농원 복숭아 와인,#복숭아 #와인 #달콤하다,과실주,세종특별자치시 전의면 가느실길 127,12,500.0,20000.0,4..82,달달하다 신맛 깔끔하다 자연스러움,복숭아향 약함 은은하게 퍼짐,3794.0,홈파티용
23,덕유양조 산머루주,#머루 #와인 #진하다,과실주,전라북도 무주군 안성면 장무로 1375-7,16,350.0,5700.0,4.79,단맛 달달하다 달다 ,머루향 진함,1053.0,
24,배상면주가 빙탄복,#스파클링 #복분자 #와인,과실주,서울특별시 서초구 강남대로 27길 7-9 우곡빌딩 6층,7,370.0,4000.0,4.8,탄산음료같다 도수가높지않다 뒷맛이 깔끔,복분자,7754.0,혼술
25,산내들 소백산 스위트 와인,#와인 #달콤하다 #포도,과실주,경상북도 영주시 단산면 좌석리 277-1,12,750.0,15500.0,4.76,부드러움 목넘김 ,향긋하다,3541.0,초보자용 가격대비 고급스러움 맛 포장 
26,컨츄리 와인 영동포도 와인,#와인 #달콤하다 #포도,과실주,충청북도 영동군 영동읍 조현길 30,12,750.0,23050.0,4.87,떫은 맛 부드러운 목넘김 달달,,758.0,선물용 디저트 분위기 내기
27,서울의밤 명랑스컬,,,,17,375.0,5580.0,4.83,부드러움 은은함 깔끔 강함,매실,774.0,이쁨
28,바다한잔 동해소주,,,,17.5,360.0,2510.0,4.87,,,3033.0,
